"%s","%s"
"Banner Box Manager","Banner Box Manager"
"Add Banner box","Add Banner box"
"Banner Manager","Banner Manager"
"Add Banner Item","Add Banner Item"
"Add Shipping Method Integration Code","Add Shipping Method Integration Code"
"Wrong column format","Wrong column format"
"Shipping Method","Shipping Method"
"Integration Code","Integration Code"
"Edit","Edit"
"Delete","Delete"
"Shipping Method","Shipping Method"
"Item information","Item information"
"Code to be sent to Promo.","Code to be sent to Promo."
"Save Item","Save Item"
"Delete Item","Delete Item"
"Save And Continue Edit","Save And Continue Edit"
"Add Item","Add Item"
"Edit Item '%s'","Edit Item '%s'"
"Banner Box Type","Banner Box Type"
"Enabled?","Enabled?"
"Translate Type","Translate Type"
"Action","Action"
"ID","ID"
"Image","Image"
"Link Name","Link Name"
"Title","Title"
"Banner Group","Banner Group"
"Not defined","Not defined"
"Buy one get one free","Buy one get one free"
"Buy one get one reduced","Buy one get one reduced"
"Bundle","Bundle"
"Deal","Deal"
"Free product","Free product"
"Issue points","Issue points"
"Basket reduction","Basket reduction"
"Delivery coupon","Delivery coupon"
"Product reduction","Product reduction"
"Promotion type name","Promotion type name"
"Sort Order","Sort Order"
"Default?","Default?"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Store Integration Codes","Store Integration Codes"
"Banner Position","Banner Position"
"Shipping Method Integration Codes","Shipping Method Integration Codes"
"Qixol Promo","Qixol Promo"
"Promo Setting","Promo Setting"
"General / Integration","General / Integration"
"Enabled","Enabled"
"Company Key","Company Key"
"Company key assigned to you when you register in Qixol Promo <a href=\"http://www.qixolpromo.com\">click</a>.","Company key assigned to you when you register in Qixol Promo <a href=\"http://www.qixolpromo.com\">click</a>."
"Integration Services","Integration Services"
"Service Protocol","Service Protocol"
"REST services [RECOMMENDED]","REST Services [RECOMMENDED]"
"SOAP services","SOAP services"
"REST Service Address","REST Service Address"
"Import Manager Service Address","Import Manager Service Address"
"Export Manager Service Address","Export Manager Service Address"
"Basket Manager Service Address","Basket Manager Service Address"
"Front-End Settings","Front-End Settings"
"Use Javascript onepage update.","Use Javascript onepage update."
"One one page chackout use javascript cart update.","One one page chackout use javascript cart update."
"Use Javascript cart update.","Use Javascript cart update."
"Cart confirmation use javascript replace.","Cart confirmation use javascript replace."
"Use Javascript topcart update.","Use Javascript topcart update."
"Top cart javascript replace.","Top cart javascript replace."
"Advanced","Advanced"
"Multi-currency Basket Validation","Multi-currency Basket Validation"
"Shopping Cart Configuration","Shopping Cart Configuration"
"Show promotional details","Show promotional details"
"Synchronised Items","Synchronised Items"
"Synchronization Config","Synchronization Config"
"Synchronise category with product","Synchronise category with product"
"Send product categories in  attribute categorycode","Send product categories in  attribute categorycode"
"Stores","For stores"
"Synchronise Customer groups","Synchronise Customer groups"
"Synchronise Customer groups","Synchronise Customer groups"
"Synchronise Shipping Methods","Synchronise Shipping Methods"
"Synchronise Currency List","Synchronise Currency List"
"Synchronise Stores","Synchronise Stores"
"Channel","Channel"
"Store Group","Store Group"
"The channel and store group are used in the store hierarchy submited to Promo.","The channel and store group are used in the store hierarchy submited to Promo."
"Synchronise on Saving","Synchronise on Saving"
"Customers","Customers"
"Synchronization Config","Synchronization Config"
"Only synchronise these methods","Only synchronise these methods"
"Shipping Methods","Shipping Methods"
"Only active","Only active"
"Only synchronise these types","Only synchronise these types"
"Product Attributes","Product Attributes"
"Include with synchronised products:","Include with synchronised products:"
"Synchronise items to Promo","Synchronise items to Promo"
"Export items to Promo","Export items to Promo"
"Run import promotions","Run import promotions"
"Import promotions from qixol.","Import promotions from qixol."
"Synchronise Products","Synchronise Products"
"product export run","product export run"
"Export finished","Export finished"
"promotion import run","promotion import run"
"Import finished","Import finished"
"Stickers Manager","Stickers Manager"
"Add Sticker","Add Sticker"
"Store Name","Store Name"
"Integration Code","Integration Code"
"Stores","Stores"
"Integration Codes","Integration Codes"
"Promotion reference","Promotion reference"
"Products","Products"
"Currency","Currency"
"Promotions","Promotions"
"Imported","Imported"
"Store Integration Codes","Store Integration Codes"
"Banner boxes Manager","Banner boxes Manager"
"Box Manager","Box Manager"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Customer Group Integration Code","Customer Group Integration Code"
"Customer Group Integration Codes","Customer Group Integration Codes"
"Shippings Map","Shippings Map"
"Sticker Manager","Sticker Manager"
"Item Sticker","Item Sticker"
"Stores Map","Stores Map"
"Qixol coupon '%s' was applied to your order.","Qixol coupon '%s' was applied to your order."
"Qixol coupon  '%s' not applicable.","Qixol coupon  '%s' not applicable."
"Stickers","Stickers"
"General","General"
"Show promotion stickers on catalogue page","Show promotion stickers on catalogue page"
"Show promotion stickers on product page","Show promotion stickers on product page"
"Show available promotions on product page","Show available promotions on product page"
"Default for promotion type","Default for promotion type"

"Show promotion stickers on products on catalogue","Show promotion stickers on products on catalogue"
"Show promotion sticker on product","Show promotion sticker on product"
"Show promotion stickers on the product page","Show promotion stickers on the product page"
"Show promotion boxes","Show promotion boxes"
"Show promotion box in cart","Show promotion box in cart"
"Show cart related only promotion box","Show cart related only promotion box"
